|E|, Y_s, |E_s|, Y
2256, 36567, 638, 10628
2256, 35768, 648, 10628
2256, 38185, 642, 10628
2256, 37240, 646, 10628
2256, 36363, 648, 10628
2256, 38784, 654, 10628
2256, 36546, 642, 10628
2256, 38423, 650, 10628
2256, 36263, 654, 10628
2256, 35671, 642, 10628
2256, 36694, 636, 10628
2256, 37597, 642, 10628
2256, 37114, 642, 10628
2256, 37217, 644, 10628
2256, 37669, 636, 10628
2256, 36979, 644, 10628
2256, 37110, 648, 10628
2256, 37561, 660, 10628
2256, 39133, 646, 10628
2256, 38422, 634, 10628
2256, 38096, 650, 10628
2256, 36044, 642, 10628
2256, 37861, 642, 10628
2256, 36910, 644, 10628
2256, 37030, 636, 10628
2256, 35705, 644, 10628
2256, 35955, 644, 10628
